KEY_CODE,HYOSYO,CITYNAME,NAME,人口総数,男,女,世帯総数
122380300,2,いすみ市,新田,502,246,256,221
122380310,2,いすみ市,釈迦谷,270,106,164,82
122380320,2,いすみ市,深堀,1550,749,801,706
122380330,2,いすみ市,日在,1389,705,684,580
122380340,2,いすみ市,長志,283,154,129,116
122380350,2,いすみ市,山田,968,481,487,377
122380360,2,いすみ市,新田野,219,107,112,84
122380370,2,いすみ市,下原,125,62,63,47
122380380,2,いすみ市,細尾,95,42,53,36
122380390,2,いすみ市,高谷,230,115,115,91
122380400,2,いすみ市,佐室,204,93,111,86
122380410,2,いすみ市,沢部,69,34,35,26
122380420,2,いすみ市,上布施,253,118,135,99
122380430,2,いすみ市,下布施,397,194,203,162
122380440,2,いすみ市,小池,205,109,96,92
122380450,2,いすみ市,小沢,645,315,330,255
122380460,2,いすみ市,岩船,339,163,176,145
122380470,2,いすみ市,大原台,594,288,306,301
122380480,2,いすみ市,椎木,1991,970,1021,825
122380490,2,いすみ市,中原,864,448,416,333
122380500,2,いすみ市,和泉,1295,634,661,561
122380510,2,いすみ市,桑田,724,315,409,244
122380520,2,いすみ市,岩熊,425,213,212,150
122380530,2,いすみ市,市野々,158,83,75,50
122380540,2,いすみ市,榎沢,883,439,444,361
122380550,2,いすみ市,谷上,284,132,152,96
122380560,2,いすみ市,長者,938,440,498,424
122380570,2,いすみ市,江場土,1455,734,721,645
122380580,2,いすみ市,井沢,1296,641,655,592
122380590,2,いすみ市,押日,1098,524,574,373
122380600,2,いすみ市,押日,1172,580,592,519
122380610,2,いすみ市,嘉谷,342,159,183,134
12239,1,大網白里市,,48129,23549,24580,19558
122390011,3,大網白里市,ながた野,1713,834,879,701
12239001101,4,大網白里市,ながた野一丁目,667,333,334,298
12239001102,4,大網白里市,ながた野二丁目,1046,501,545,403
122390012,2,大網白里市,永田,910,453,457,404
122390021,3,大網白里市,みやこ野,1653,775,878,711
12239002101,4,大網白里市,みやこ野一丁目,824,379,445,344
12239002102,4,大網白里市,みやこ野二丁目,829,396,433,367
122390022,2,大網白里市,駒込,1856,901,955,942
122390030,2,大網白里市,経田,205,97,108,82
122390040,2,大網白里市,小中,333,162,171,121
122390050,2,大網白里市,神房,73,33,40,27
122390060,2,大網白里市,萱野,69,32,37,29
122390070,2,大網白里市,砂田,26,13,13,13
122390080,2,大網白里市,大網,3977,1971,2006,1815
122390090,2,大網白里市,仏島,531,267,264,234
122390100,2,大網白里市,星谷,188,88,100,73
122390110,2,大網白里市,餅木,70,36,34,23
122390120,2,大網白里市,金谷郷,1039,514,525,443
122390130,2,大網白里市,大竹,478,241,237,216
122390140,2,大網白里市,池田,300,144,156,123
122390150,2,大網白里市,南玉,217,111,106,115
122390160,2,大網白里市,小西,153,69,84,58
122390170,2,大網白里市,養安寺,146,70,76,54
122390180,2,大網白里市,山口,73,34,39,23
122390190,2,大網白里市,上貝塚,722,328,394,272
